name,phone,email,website,category,address1,address2,region,zip,country,googlestars,googlecount,yelpstars,yelpcount,fbstars,fbcount,ig_followers
"Concierge Dental Design","+12015590679","ykangdental@gmail.com","https://www.conciergedentaldesign.com/","Dentist","26 Broadway #1303","New York","NY","10004","US","4.9","452","4.6","5","","","273"
"NYC Dental Professionals","+12129229554","nycdentalprofessionals@gmail.com","http://nycdentalprofessionals.com/","Dentist","120 E 56th St #720","New York","NY","10022","US","4.5","195","","","","",""
"The Exchange Dental Group","+16467805410","dorian@theexchangedentalgroup.com","https://www.theexchangedentalgroup.com/","Dentist","39 Broadway Rm 2115","New York","NY","10006","US","4.9","1154","4.2","219","5","22","14386"
"Gramercy Dental NYC","+12126142662","hello@drfrancineestrada.com","https://gramercydental.nyc/","Dentist","8 Gramercy Pk S #1b","New York","NY","10003","US","4.9","91","4.3","27","","","448"
"Washington Square Dental Group, P.C.","+12126744011","","http://www.washingtonsquaredentalgroup.com/","Dentist","2 5th Ave Ste 4","New York","NY","10011","US","5.0","450","4","26","","","702"
"Shu Ping Rong, DDS","+12122266368","drrongdental@gmail.com","http://drrongdds.com/","Dentist","101 Lafayette St 6th floor","New York","NY","10013","US","4.7","342","4.3","118","","",""
"Century Dental Associates","+12125873000","centurydent@yahoo.com","https://www.centurydentalnyc.com/","Dentist","18 E 41st St 1st Floor","New York","NY","10017","US","4.5","153","2.9","33","","",""
"Battery Park Pediatric &amp; Orthodontic Dentists","+12127860930","kids@bpdentists.com","http://batteryparkpediatricdentists.com/","Paediatric Dentist","375 S End Ave suite b","New York","NY","10280","US","4.3","46","3.7","11","","","889"
"Sachar Dental NYC","+12127521163","drsachar@sachardental.com","https://www.sachardental.com/","Dentist","20 E 46th St Rm 1301","New York","NY","10017","US","5.0","393","","","","","1424"
"Bowery Dental","+19173883678","info@bowerydental.com","http://www.bowerydental.com/","Dental clinic","145 Canal St 2nd fl","New York","NY","10002","US","4.8","167","4.8","100","","","439"
"Tribeca Dentist - Empower Your Smile","+12122748338","","https://www.empoweryoursmile.com/","Cosmetic dentist","35A Walker St","New York","NY","10013","US","4.6","136","5","10","5","1","1047"
"Integrated Aesthetic Dentistry","+12122545454","info@iadentistry.com","https://www.iadentistry.com/","Dentist","130 E 18th St","New York","NY","10003","US","4.8","230","","","","","1660"
"New York Family Dental Arts","+12126283300","nyfamilydentalarts@gmail.com","http://www.dentalartsny.com/","Dentist","200 E 72nd St","New York","NY","10021","US","4.9","550","","","","","1912"
"Village Dental Medicine","+12127411100","info@villagedentalmedicine.com","https://villagedentalmedicine.com/","Dentist","401 6th Ave","New York","NY","10014","US","4.9","602","4.2","40","","",""
"Soho Smile - Cosmetic Dentist NYC","+12123347330","","https://www.sohosmile.com/","Cosmetic dentist","206 Spring St 5th Floor","New York","NY","10012","US","5.0","197","4.6","25","","",""
"Soul Dental Chelsea","+16465028416","","http://souldentalnyc.com/","Dentist","200 W 15th St Unit 1A","New York","NY","10011","US","4.7","647","3.6","113","","","1522"
"Lynna Pillai DMD","+15163406012","dental@cosmeticdentistryny.com","https://www.katebraymandds.com/","Dentist","8285 Jericho Tpke Suite 3-C","Woodbury","NY","11797","US","4.8","334","","","","","162"
"L.E.S. Dental Group.","+12129790990","info@lesdentalgroup.com","https://www.lesdentalgroup.com/","Dental clinic","62 Rivington St","New York","NY","10002","US","4.3","632","3","59","","","286"
"Preferred Dental Care - Chelsea Dentist","+12125947171","mariar.pdc@gmail.com","https://www.preferreddentalcare.com/locations/chelsea-ny-location","Dentist","135 W 27th St","New York","NY","10001","US","4.9","2103","2.6","72","","","720"
"CANAL DENTAL GROUP","+12129663649","canaldentalgroup@gmail.com","https://www.canaldentalgroup.com/","Dental clinic","196 Canal St 6th floor","New York","NY","10013","US","4.9","289","4.6","14","","",""
"Union Square Dental","+12126757877","unionsq.dental@gmail.com","https://www.unionsquaredentalny.com/","Dental clinic","29 W 19th St #1","New York","NY","10011","US","4.0","364","","","","",""
"Manhattan Dental Spa: John Vargas DDS, Allison Gordon DMD, &amp; Mitchell Charnas DMD","+12126832530","dentalspamanager@gmail.com","http://www.manhattandentalspa.com/","Dentist","200 Madison Ave Suite 2201","New York","NY","10016","US","4.9","711","","","","","8040"
"Park 56 Dental","+12128262322","jessicagpark56@gmail.com","https://www.park56dental.com/contact-us","Dentist","120 E 56th St","New York","NY","10022","US","4.9","911","","","","","2226"
"Apex Family Dental PC","+12129252532","info@apexfamilydental.net","http://www.apexfamilydental.net/","Dentist","89 Bowery 5th floor","New York","NY","10002","US","4.6","151","4.3","50","","","49"
"Martin Man DMD, Astha Patel DDS","+12129621305","mmandmd@gmail.com","http://twobridgesdentist.com/","Dentist","185 Park Row #6","New York","NY","10038","US","4.9","166","2.5","12","","","239"
"Gramercy Dental Center","+12129796363","","https://gramercydentalcenter.com/","Dentist","118 E 19th St","New York","NY","10003","US","4.6","640","2.3","36","","","423"
"Perfect Dental Care","+12122397027","perfectdentalcareny@gmail.com","http://www.perfectdentalny.com/","Dental clinic","101 E 4th St","New York","NY","10003","US","4.4","634","2.5","24","","","57"
"FiDi ENDODONTICS","+12126197899","fidiendodontics@gmail.com","https://www.fidiendodontics.com/","Endodontist","111 John St Rm 530","New York","NY","10038","US","4.9","829","4.8","64","","","249"
"Jerrold F. Heller & Associates D.D.S.","+16462057038","heller425grandst@yahoo.com","https://www.drjerryhellerdds.com/","Dentist","425 Grand St Lobby","New York","NY","10002","US","4.8","200","3.5","26","","","542"
"Luxury &amp; Cosmetic Dentistry NYC","+13322498248","frontdesk@luxurydentistrynyc.com","https://www.luxurydentistrynyc.com/","Cosmetic dentist","328 E 75th St","New York","NY","10021","US","5.0","103","4.8","56","","",""
"New York DMD","+19172849680","info@newyorkdmd.com","https://newyorkdmd.com/","Dentist","115 E 61st St Suite 12A","New York","NY","10065","US","4.9","278","","","","",""
"Dr. Alfred Ho D.D.S.","+12122277677","dr.alfredhodental@gmail.com","http://www.alfredhodental.com/","Dentist","139 Centre St STE 718","New York","NY","10013","US","4.2","37","3.5","11","","",""
"Dental House","+12128883384","info@dentalhousenyc.com","http://www.dentalhousenyc.com/","Dentist","W th St","New York","NY","10011","US","5.0","749","4.1","33","","","6766"
"The New York Center for Cosmetic Dentistry","+12122884455","","https://www.nyccd.com/","Dental clinic","128 E 71st St Suite #2","New York","NY","10021","US","4.8","203","4.7","43","","","12204"
"Glenn Chiarello DDS FAGD","+12123211800","arlene@ismile.com","https://www.chiarellodds.com/","Cosmetic dentist","111 Broadway # 1701","New York","NY","10006","US","5","1","4.5","2","","",""
"Dentistry For Health New York","+19174777771","info@dentistryforhealthny.com","https://dentistryforhealthny.com/","Dentist","120 East 56th Street 12th Floor","New York","NY","10022","US","4.9","279","","","","","492"
"Dynamic Smile Dental","+12122198230","smiledynamic@gmail.com","http://www.dynamicsmiledental.com/","Dentist","80 Bowery #400","New York","NY","10013","US","3.3","21","4","25","","",""
"My NYC Dentist - 34th Street Dental","+12125648164","my34thstdentist@aol.com","http://www.mynyc-dentist.com/","Dentist","225 W 35th St # 2","New York","NY","10001","US","4.8","482","4.2","82","","",""
"Tend Dental Wall Street","+12124063686","general@hellotend.com","https://www.hellotend.com/studios/new-york-city/wall-street","Dentist","63 Wall St","New York","NY","10005","US","4.4","770","3.1","95","","","35405"
"Arch Dental","+12124774330","adanewyork@mydentalmail.com","http://archdentalofmanhattan.com/","Dentist","3 Washington Square Village Apt 1D","New York","NY","10012","US","4.7","288","2.9","73","","","156"
"Smile Arts of NY","+12125376923","smileartsofny@gmail.com","http://www.smileartsofny.com/","Cosmetic dentist","30 E 40th St #105","New York","NY","10016","US","4.8","754","","","","","833"
"Gramercy Dental Studio","+12129246890","frontdesk@gramercydentalstudio.com","https://www.gramercydentalstudio.com/","Dentist","39 5th Ave","New York","NY","10003","US","5.0","145","","","","",""
"NY Center for Aesthetic and Laser Dentistry-Invisalign and Sleep Apnea dentist","+12123711414","drpoiman@nylaserdentist.com","https://www.nylaserdentist.com/","Dentist","57 W 57th St #605","New York","NY","10019","US","5.0","192","","","","","37998"
"Louis Siegelman, D.D.S.","+16465860442","drs@dentalphobia.com","https://www.dentalphobia.com/","Dentist","119 W 57th St #815","New York","NY","10019","US","4.9","69","","","","","561"
"Diamond District Dental NYC - Midtown Dentist","+12127595595","manager@dddentalnyc.com","https://www.dddentalnyc.com/","Dentist","10 W 46th St #1401","New York","NY","10036","US","4.9","581","","","","","1648"
"NYC Smile Spa","+16463742242","","https://www.nycsmilespa.com/","Cosmetic dentist","30 E 60th St Suite 1201","New York","NY","10022","US","4.9","385","","","","","984"
"Group Health Dental","+13322491842","billpay@myunderbite.com","https://grouphealthdental.com/","Dentist","230 W 41st St 15th Floor","New York","NY","10036","US","4.5","1447","","","","","377"
"Gotham Dental","+13322309244","schedule@gothamdental.com","https://gothamdental.com/","Dentist","5 E 19th St 5th floor","New York","NY","10003","US","4.9","205","4.5","8","","","381"
"Nicole M Khalife","+12128787646","office@luxsmilesnyc.com","https://www.luxsmilesnyc.com/","Dentist","7 Gramercy Park W Suite C1-B","New York","NY","10003","US","","","","","","","244"
"NYC Dental Implants Center","+12122560000","info@nycdentalimplantscenter.com","https://www.nycdentalimplantscenter.com/","Dentist","121 E 60th St Ste 6C2","New York","NY","10065","US","4.9","194","","","","","2076"
"SLim Dental","+16467274188","","https://www.slimdental.com/contact-us/dentist-murray-hill/","Dentist","30 E 37th St","New York","NY","10016","US","4.9","285","","","","","1000"
"Pediatric Dentistry of New York","+12123627770","info@citykidsdentist.com","https://www.citykidsdentist.com/central-park-west-location","Paediatric Dentist","115 Central Park West Office 2","New York","NY","10023","US","5","22","","","","",""
"Dr. Jeffrey Rouse, DDS","+12123749500","bmejia@manhattanyouth.org","http://www.manhattanyouth.org/camps.aspx","Dentist","225 Broadway # 1020","New York","NY","10007","US","","","","","","","2565"
"Rozenberg Dental NYC","+12122657724","lrozenbergdds@gmail.com","https://rozenbergdentalnyc.com/","Dentist","45 W 54th St","New York","NY","10019","US","4.9","278","","","","",""
"Rockefeller Cosmetic Dentistry Chelsea","+12125811091","rcdsleepapnea@gmail.com","https://www.cosmeticdentistsnewyorkcity.com/our-locations/chelsea/","Cosmetic dentist","209 W 19th St","New York","NY","10011","US","4.9","137","","","","","610"
"NY Dental - Arman Roksar DDS PLLC","+12125801164","nydental@gmail.com","https://nydental.com/","Dentist","220 Riverside Blvd","New York","NY","10069","US","4.9","140","","","","",""
"Chelsea Dental Aesthetics: David Blaustein, DDS","+19172000219","chelseadentalaesthetics@gmail.com","https://www.chelseadentalaesthetics.com/","Dentist","415 W 23 St #1b","New York","NY","10011","US","5.0","203","4.4","10","","",""
"Prosthodontics of New York","+12127589690","office@prosofny.com","https://www.prosofny.com/","Dentist","18 E 48th St #1501","New York","NY","10017","US","5.0","37","","","","","491"
"Midtown Dental Group Upper East Side","+12125881809","midtowndentalgroup@gmail.com","https://midtowndentalgroup.com/locations/uppereastside/","Dentist","30 E 60th St suite 2402","New York","NY","10022","US","4.9","475","4","24","","","1407"
"Oral &amp; Maxillofacial Surgery of New York: Majid Jamali, DMD","+13322440554","info@omsofny.com","https://www.omsofny.com/","Oral and maxillofacial surgeon","42 Broadway # 1501","New York","NY","10004","US","4.8","291","4.4","77","","","8505"
"Dr Phoebe Tin Tin San Ma, DMD & Dr Michelle Hu, DDS","+12122274349","drdavid@emergencydentist247.com","https://www.emergencydentist247.com/locations/queens-ny-2/","Dentist","98 E Broadway #501","New York","NY","10002","US","5","1","","","","",""
"Chelsea Dental","+12126752044","chelseadentalny@gmail.com","http://chelseadentalny.com/","Dentist","235 W 14th St","New York","NY","10011","US","4.2","111","2","23","","",""
"Murray Hill Dental., PC Dr. Michael I.Katayev","+12129050081","murrayhilldentalpc@gmail.com","https://www.murrayhilldentalpc.com/","Dentist","300 E 40th St B","New York","NY","10016","US","4.8","183","","","","",""
"Dr. Michael J. Wei, DDS","+12129824080","","https://mymanhattancosmeticdentist.com/","Dentist","425 Madison Ave 20th Floor","New York","NY","10017","US","4.9","245","","","","","269488"
"NYC Smile Design: Ramin Tabib, DDS","+12124523344","info@nycsmiledesign.com","https://www.nycsmiledesign.com/","Dentist","8 E 84th St","New York","NY","10028","US","4.2","5","","","","","163364"
"SmilesNY","+13322482838","drroth@smilesny.com","https://smilesny.com/","Cosmetic dentist","220 E 63rd St Lobby F","New York","NY","10065","US","4.9","299","","","","","804"
"Lavaan Dental Spa","+12128371833","info@lavaansmile.com","http://www.lavaansmile.com/","Cosmetic dentist","474 6th Ave","New York","NY","10011","US","4.8","123","3.7","38","","",""
"Holistic Dentist New York","+12129470073","successdds@gmail.com","http://thebrandwellnesscenter.com/","Dentist","19 W 34th St. #1022","New York","NY","10001","US","2.0","1","","","","","303"
"Ever Care Dental","+12122606106","eagdds@evercaredental.com","http://www.evercaredental.com/","Dentist","22 E 21st St # 2f","New York","NY","10010","US","5.0","282","4.7","30","","","399"
"The Chelsea Dental Group","+15167569630","info@thechelseadentalgroup.com","https://www.thechelseadentalgroup.com/","Dentist","360 W 22nd St","New York","NY","10011","US","4.9","142","4.6","17","","",""
"Cosmopolitan Dental","+12128434310","info@cosmopolitandental.com","https://www.cosmopolitandental.com/","Dentist","30 E 40th St Rm 1001","New York","NY","10016","US","4.9","168","","","5","8","570"
"Lehman Kevin V DDS","+12127777727","accounts@dentalartsmanhattan.com","http://www.dentalartsmanhattan.com/","Dentist","154 W 14th St # 4i","New York","NY","10011","US","4.7","34","","","","",""
"Dr. Zeng Dental Office, P.C.","+12122338848","drzengdmd@gmail.com","http://mydentistnewyork.com/","Dentist","2 Allen St UNIT 3B","New York","NY","10002","US","3.9","18","4.2","12","","",""
"PreZenDental: Herrick Lai, DDS","+12126794925","prezendental@gmail.com","http://www.prezendental.com/","Cosmetic dentist","381 Park Ave S suite 1111","New York","NY","10016","US","5.0","267","5","12","","",""
"Emagen Dental LLC","+12123529300","drbrianurtula@emagendental.com","https://emagendental.com/","Dentist","603 Greenwich St Unit 1B","New York","NY","10014","US","5.0","86","4.6","133","","","142"
"Making You Smile Cosmetic Dentist Studio NYC: Dr. Ziad Jalbout DDS","+16468464645","care@makingyousmile.nyc","https://makingyousmile.nyc/","Dentist","36 E 36th St #1D","New York","NY","10016","US","4.9","457","","","","","528"
"Prosthodontic Associates, PLLC","+12129864830","info@paonypc.com","http://www.paonypc.com/","Cosmetic dentist","370 Lexington Ave 26th Floor","New York","NY","10017","US","4.9","74","","","","","667"
"Dental Specialists of NY","+12126612192","info@dentalspecialistsofny.com","https://dentalspecialistsofny.com/","Dental clinic","150 E 58th St","New York","NY","10155","US","4.8","101","3","2","","",""
"Pediatric Dental Associates of Manhattan","+12129862039","fundentists@gmail.com","http://www.fundentists.com/","Paediatric Dentist","30 E 40th St RM 503","New York","NY","10016","US","4.9","206","","","","","1937"
"Park Smiles NYC Cosmetic Dentistry","+12129886724","frontdesk@parksmilesnyc.com","https://www.parksmilesnyc.com/","Cosmetic dentist","1175 Park Ave # 1d","New York","NY","10128","US","4.8","495","","","","","85569"
"Dr Beshar Dentistry","+12127532240","service@drbeshar.com","https://www.drbeshar.com/","Dentist","25 Central Prk W #1C","New York","NY","10023","US","4.9","263","","","","","219"
"Beth Caunitz, DDS","+12122069002","caunitzdds@gmail.com","http://www.bethcaunitzdds.com/","Dentist","515 Madison Ave Suite #3303","New York","NY","10022","US","5.0","237","","","","","287"
"Cosmetic Dentistry Center NYC - Dr. Pia Lieb","+12128291515","","http://www.cosmeticdentistrycenternyc.com/","Cosmetic dentist","381 Park Ave S #908","New York","NY","10016","US","4.6","67","","","","","565976"
"Kidz Smile Pediatric Dentistry","+16469025439","info@kidzsmilepd.com","https://kidzsmilepd.com/","Paediatric Dentist","425 Grand St Suite #1","New York","NY","10002","US","5.0","274","4.8","15","","","202"
"Madison Dental Group","+12129359300","","http://www.madisondental.com/","Dental clinic","515 Madison Ave #2600","New York","NY","10022","US","4.8","434","","","","",""
"Koppelman Dental","+12123823782","info@koppelmandental.com","https://www.koppelmandental.com/","Dental clinic","7 W 45th St 2nd floor","New York","NY","10036","US","5.0","978","","","","",""
"Rejuvenation Health NYC","+16468473995","","https://www.rejuv-health.com/","Dental implants periodontist","860 5th Ave","New York","NY","10065","US","4.6","121","","","","","30905"
"Frangella Dental","+12122452888","care@drfrangella.com","http://www.drfrangella.com/","Dentist","200 W 57th St #1405","New York","NY","10019","US","5.0","214","","","","","148"
"Meridian Dental Group","+12128130850","info@meridiandds.com","https://www.meridiandentalgroup.com/","Dentist","20 E 46th St #1000","New York","NY","10017","US","4.8","116","4.5","110","","",""
"286 Madison Dental","+12126822060","info@286madisondental.com","https://www.286madisondental.com/","Cosmetic dentist","286 Madison Ave #500","New York","NY","10017","US","4.8","559","","","","","134"
"Waverly Place Dental: Roman Roytberg, DDS","+12124600955","123waverlyplacedental@gmail.com","https://www.waverlyplacedental.com/","Dentist","123 Waverly Pl","New York","NY","10011","US","4.9","158","4.4","19","","",""
"SAMA Oral Health - Dr. Jaskaren Randhawa","+12125757740","info@samaoralhealth.com","https://www.samaoralhealth.com/","Dentist","22 W 23 St 2nd floor","New York","NY","10010","US","4.9","327","","","","","11833"
"Jonathan Freed, DDS, PC","+12126825644","madisonavedentist@icloud.com","http://www.carefuldentistry.com/","Dentist","110 E 40th St STE 503","New York","NY","10016","US","5","358","","","","",""
"The Dental Spa of New York","+17189656298","drsapienza@thedentalspany.com","https://www.thedentalspany.com/","Dentist","398 5th Ave","Brooklyn","NY","11215","US","4.7","29","","","","",""
"All Smiles Dentistry Affiliated with The Smilist Dental","+12127771181","jamesport@thesmilist.com","https://thesmilist.com/dentist-locations/nyc/greenwich-village-dentist/","Dentist","29 Washington Square W # 1c","New York","NY","10011","US","4.6","283","4.5","113","","","2445"
"Midtown Dental Wellness","+12127511333","jinette@nycdentalwellness.com","https://nycdentalwellness.com/","Cosmetic dentist","515 Madison Ave Suite #3303","New York","NY","10022","US","4.7","244","","","","","393"
"JBL New York City","+12127346111","","http://www.jblnyc.com/","Dentist","923 5th Ave","New York","NY","10021","US","4.9","489","","","5","42","18201"
"Cosmetic Dental Studios - Victoria Veytsman DDS","+12127596700","info@veytsmandds.com","http://www.veytsmandds.com/","Cosmetic dentist","30 Central Park S #7A","New York","NY","10019","US","4.9","282","","","","","241629"
"Central Park West Dentistry","+12125798885","anel@cpwdentistry.com","https://cpwdentistry.com/","Dentist","1881 Broadway 4th Floor","New York","NY","10023","US","4.8","405","","","","","1096"
"New York City Cosmetic Dentistry Center","+12126883838","drmalbraverman@gmail.com","https://www.drbraverman.com/","Dentist","30 Central Park S #12a","New York","NY","10019","US","5","25","","","","",""
"Dr. Victoria Elikashvili, DDS","+12127257017","info@elikulickdental.com","https://www.elikulickdental.com/meet-the-dentists/victoria-elikashvili-d_d_s/","Dentist","471 3rd Ave","New York","NY","10016","US","4.9","47","","","","",""
"Manhattan Dental Arts","+16467592988","info@manhattandentalarts.com","https://manhattandentalarts.com/","Dental clinic","1995 Broadway Suite 200","New York","NY","10023","US","4.7","448","","","","","305"
"Lauren Becker DDS","+19292843944","","https://doctorlaurenbecker.com/Index.asp","Dentist","15 W 26th St #10r","New York","NY","10010","US","5.0","355","4.5","16","","","4119"
"Central Park Dentistry","+12124866211","centralparkdentistry1@gmail.com","https://cpsdent.com/","Dentist","30 Central Park S RM 2B","New York","NY","10019","US","4.8","225","","","","","230"
"Aesthetic Dentistry of Manhattan","+19176757468","drgause@alexgausedds.com","https://aestheticdentistryofmanhattan.com/","Cosmetic dentist","133 E 58th St #1201","New York","NY","10022","US","5.0","282","","","","","1121"
"Madison Dental Arts","+12125321400","dgreene@madisondentalarts.com","https://www.madisondentalarts.com/","Dentist","275 Madison Ave #2500","New York","NY","10016","US","5.0","23","","","","",""
"National Dental Upper East Side","+12125354199","","https://www.lovenationaldental.com/locations/dentist-upper-east-side-manhattan-ny","Dentist","1485 1st Ave","New York","NY","10075","US","4.2","392","","","","","5017"
"Presidental Care","+12122213691","regopark@presidentalcare.com","https://presidentalcare.com/","Dentist","526 7th Ave 3rd Floor","New York","NY","10018","US","4.7","211","","","","","6936"
"Joshua M. Wilges DDS & Associates","+16465902100","info@jmwdds.com","http://www.jmwdds.com/","Dentist","2 W 45th St #1708","New York","NY","10036","US","5","181","","","4.5","13",""
"Elite Smile NYC","+12123629788","","http://www.elitesmilenyc.com/","Dentist","1776 Broadway","New York","NY","10019","US","4.8","44","","","","","1014"
"Frederick Stange, DDS & Associates","+12128883570","","https://www.citydentist.com/","Dentist","210 E 47th St Suite 1D","New York","NY","10017","US","5","138","","","5","15",""
"Levy Dental Arts","+16464667557","info@levydentalarts.com","https://levydentalarts.com/","Dentist","119 W 57th St #801","New York","NY","10019","US","4.8","430","","","","","3326"
"East Village Smiles","+16469609979","hello@evsdds.com","https://www.east-villagesmiles.net/","Cosmetic dentist","Avenue B","New York","NY","10009","US","3.9","41","","","","",""
"Manhattan Dental Care","+12125804790","manhattandental@aol.com","http://www.manhattandentalw79.com/","Dental clinic","127 W 79th St","New York","NY","10024","US","5","221","","","","","147"
"Jason Kasarsky DDS","+12128388230","lrozenbergdds@gmail.com","https://jkdds.com/manhattan-consmetic-dentistry","Cosmetic dentist","45 W 54th St Suite 1B/1C","New York","NY","10019","US","4.9","33","","","","",""
"LK advanced dentistry","+12126005221","info@lkadnyc.com","http://www.lkadnyc.com/","Dentist","330 W 58th St #309","New York","NY","10019","US","4.9","88","","","","",""
